Date,open,high,low,close,volume,C-O,BuySignal
07-09-22,160.51,165.33,160.3635,163.32,1689270,2.81,1
08-09-22,161.97,166.89,160.7,165.45,1498603,3.48,1
09-09-22,166.57,168.87,165.66,168.14,2098026,1.57,0
12-09-22,169.55,169.9,167,169.07,1280186,-0.48,0
13-09-22,162.05,163.4,155,155.46,3863230,-6.59,1
14-09-22,154.62,160.43,154.15,159.45,2807116,4.83,1
15-09-22,159.06,161.9899,156.83,159.68,2340267,0.62,1
16-09-22,158.56,160.675,156.855,159.94,2506530,1.38,0
19-09-22,158.27,163.38,157.81,163.1,1582357,4.83,0
20-09-22,160.35,162.55,159.505,160.9,1358006,0.55,0
21-09-22,161.85,166.71,159.13,159.17,1528456,-2.68,0
22-09-22,158.92,159.9,154.16,155.13,2088120,-3.79,0
23-09-22,152.73,153.37,148.42,152.94,2680335,0.21,0
26-09-22,153.05,154.9631,151.24,151.95,2167962,-1.1,1
27-09-22,154.41,156.5,150.75,153.51,1741513,-0.9,1
28-09-22,152.95,157.1,152.27,156.44,2103774,3.49,0
29-09-22,153.96,155.04,146.95,151.01,2841081,-2.95,0
30-09-22,149.75,152.79,147.43,147.51,2112798,-2.24,0
03-10-22,149.52,153.9,147.8,151.96,2415512,2.44,1
04-10-22,156.48,159.96,155.49,159.89,2392218,3.41,1
05-10-22,156.83,162.35,155.13,161.24,1904454,4.41,0
06-10-22,161.26,163.785,158.87,158.99,1559992,-2.27,0
07-10-22,154.87,154.87,150.3622,151.75,2753027,-3.12,0
10-10-22,151.74,151.96,146.08,147.5,1812098,-4.24,0
11-10-22,145,145.775,141.5622,143.75,3004364,-1.25,0
12-10-22,142.55,143.79,140.13,140.28,2066889,-2.27,1
13-10-22,134.19,145.24,132.08,143.17,3307402,8.98,0
14-10-22,144.9,145.54,137.08,138.09,2893033,-6.81,0
17-10-22,141.81,143.165,139.5,141.27,1972101,-0.54,0
18-10-22,143.44,146.4754,137.73,140.95,2218572,-2.49,1
19-10-22,140.37,143.975,139.83,141.32,2160432,0.95,0
20-10-22,142.08,143.74,138.575,139.04,2895772,-3.04,1
21-10-22,138.71,145.59,137.51,145.25,2496459,6.54,0
24-10-22,144.01,145.77,140.45,144.94,1921732,0.93,1
25-10-22,145.44,148.79,144.81,148.74,2831861,3.3,0
26-10-22,146.69,152.64,144.14,147.28,2023382,0.59,0
27-10-22,149.33,151.86,144.86,145.12,2197887,-4.21,1
28-10-22,145.96,152.19,145,151.66,2552031,5.7,0
31-10-22,149.77,150.58,145.54,146.08,3307191,-3.69,1
01-11-22,150.48,153.85,147.8,151.85,4306559,1.37,0
02-11-22,151.95,158.5,148.41,148.61,2977969,-3.34,0
03-11-22,146.39,146.39,142.755,144.85,2373323,-1.54,1
04-11-22,149.9,151.84,146.93,151.06,2385672,1.16,0
07-11-22,152.7,158.22,151.31,157.9,2451175,5.2,1
08-11-22,161.41,165.1,159.77,163.11,2659159,1.7,0
09-11-22,159.94,161.03,154.63,154.72,2780129,-5.22,1
10-11-22,163.98,165.81,161.67,165.47,4487685,1.49,1
11-11-22,166.52,171,163.54,169.94,2515251,3.42,0
14-11-22,168.04,172.655,168.04,169.01,1823402,0.97,1
15-11-22,175.22,176.66,171.89,174.81,2335636,-0.41,0
16-11-22,171.54,172.855,165.48,166.88,2204373,-4.66,1
17-11-22,162.56,170.4,162.56,170.09,1460548,7.53,1
18-11-22,172.82,172.83,169.22,171.94,1533725,-0.88,0
21-11-22,170.44,171.275,168.12,168.85,1271227,-1.59,1
22-11-22,169.75,173.43,168,173.41,1695549,3.66,1
23-11-22,174.09,179.03,173.275,175.2,1586522,1.11,0
25-11-22,174.97,175.52,172.69,172.69,735363,-2.28,0
28-11-22,169.05,170.86,163.38,164.1,2758037,-4.95,1
29-11-22,164.68,166.26,162.79,164.69,1347265,0.01,1
30-11-22,165.07,176.66,162.61,175.84,3654139,10.77,0
01-12-22,177.55,178.07,173.13,173.44,2083001,-4.11,0
02-12-22,169.17,171.2,167.32,171.06,1619959,1.89,0
05-12-22,169.81,170.3,166.535,168.37,1208132,-1.44,0
06-12-22,166.66,167.8685,161.14,163.08,1903991,-3.58,1
07-12-22,161.45,164.305,160,163.95,1427249,2.5,1
08-12-22,164.65,171.87,163.53,171.47,2520290,6.82,0
09-12-22,169.71,172.87,168.395,169.72,1961974,0.01,0
12-12-22,169.89,173.28,169.1006,173.07,2048360,3.18,1
13-12-22,180.575,180.575,171.29,174.31,3081347,-6.265,0
14-12-22,173.23,175.36,169,171.57,1968677,-1.66,0
15-12-22,168.26,169.645,164.59,165.16,2570271,-3.1,0
16-12-22,164.35,165.425,161.66,163.72,3696450,-0.63,0
19-12-22,164.29,164.33,158.53,160.27,1418231,-4.02,0
20-12-22,157.99,161.22,157.055,159.51,1101408,1.52,1
21-12-22,160.87,163.84,160.01,163.43,1737528,2.56,0
22-12-22,159.86,161.0098,153.96,157.51,2759052,-2.35,1
23-12-22,156.21,157.82,154.2001,157.67,1212321,1.46,0
27-12-22,155.55,155.56,153.24,153.78,1374931,-1.77,0
28-12-22,152.9,154.845,150.9,151.7,1433409,-1.2,1
29-12-22,154.84,159.6967,153.488,158.12,2016648,3.28,0
30-12-22,155.53,158.18,154.07,158.03,1020995,2.5,0
03-01-23,159.78,160.45,153.11,155.05,1900282,-4.73,1
04-01-23,158.28,160.36,156.1,157.96,1678419,-0.32,0
05-01-23,156.1,157.26,153.1,153.51,1692408,-2.59,1
06-01-23,155.85,160.17,153.89,159.63,2063253,3.78,0
09-01-23,162.29,164.45,160.04,160.97,1834371,-1.32,1
10-01-23,163.55,166.25,161.98,166.07,2219656,2.52,1
11-01-23,166.66,168.88,165.225,168.73,2019224,2.07,1
12-01-23,170.09,171.87,167.385,170.21,1704966,0.12,1
13-01-23,168.62,171.95,168.22,171.82,2006431,3.2,0
17-01-23,170.71,170.775,167.79,170.33,1991041,-0.38,1
18-01-23,172.42,175.3,170.54,170.68,1565766,-1.74,0
19-01-23,168.8,169.26,164.86,165,2163258,-3.8,1
20-01-23,166.55,168.675,164.26,168.5,2322322,1.95,0
23-01-23,169.23,175.75,168.51,173.03,3386371,3.8,1
24-01-23,170.95,174.2563,169.49,173.17,1627040,2.22,1
